TensorBoard log directory: /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Launch with: tensorboard --logdir /home/blue-lobster/PycharmProjects/Model_California_Birds/outputs/output_20260314_130809/tensorboard
Number of classes: 657
Train batches: 13801
Val batches: 2431
Unexpected keys (fc_norm.bias, fc_norm.weight) found while loading pretrained weights. This may be expected if model is being adapted.

===== Epoch 1/500 (LR: 2.00e-07) =====
  Train Batch [6375/13801] | Loss: 19.4578 | Top1: 0.0051 | Top5: 0.0207
  Train Batch [6400/13801] | Loss: 19.4578 | Top1: 0.0053 | Top5: 0.0209
  Train Batch [6425/13801] | Loss: 19.4577 | Top1: 0.0053 | Top5: 0.0210
  Train Batch [6450/13801] | Loss: 19.4577 | Top1: 0.0054 | Top5: 0.0212
  Train Batch [6475/13801] | Loss: 19.4577 | Top1: 0.0054 | Top5: 0.0212
  Train Batch [6500/13801] | Loss: 19.4577 | Top1: 0.0054 | Top5: 0.0212
  Train Batch [6525/13801] | Loss: 19.4576 | Top1: 0.0054 | Top5: 0.0212
  Train Batch [6550/13801] | Loss: 19.4576 | Top1: 0.0055 | Top5: 0.0212
  Train Batch [6575/13801] | Loss: 19.4576 | Top1: 0.0055 | Top5: 0.0214
  Train Batch [6600/13801] | Loss: 19.4576 | Top1: 0.0055 | Top5: 0.0214
  Train Batch [6625/13801] | Loss: 19.4575 | Top1: 0.0055 | Top5: 0.0214
  Train Batch [6650/13801] | Loss: 19.4575 | Top1: 0.0056 | Top5: 0.0215
  Train Batch [6675/13801] | Loss: 19.4575 | Top1: 0.0056 | Top5: 0.0217
  Train Batch [6700/13801] | Loss: 19.4575 | Top1: 0.0056 | Top5: 0.0217
  Train Batch [6725/13801] | Loss: 19.4575 | Top1: 0.0056 | Top5: 0.0219
  Train Batch [6750/13801] | Loss: 19.4574 | Top1: 0.0057 | Top5: 0.0219
  Train Batch [6775/13801] | Loss: 19.4574 | Top1: 0.0057 | Top5: 0.0220
